state,date,death,hospitalized,positive
SD,2021-02-26,1879,6591,112107
TN,2021-02-26,11377,18553,772513
TX,2021-02-26,42575,,2629136
UT,2021-02-26,1907,14628,370084
VA,2021-02-26,8197,23978,572639
VI,2021-02-26,25,,2636
VT,2021-02-26,204,,14963
WA,2021-02-26,4942,19224,337653
WI,2021-02-26,6999,26013,616018
WV,2021-02-26,2291,,131234
WY,2021-02-26,671,1381,54350
AK,2021-02-25,290,1271,55886
AL,2021-02-25,9831,45312,491110
AR,2021-02-25,5397,14714,318122
AS,2021-02-25,0,,0
AZ,2021-02-25,15814,57390,812907
CA,2021-02-25,50991,,3460326
CO,2021-02-25,5925,23385,424677
CT,2021-02-25,7614,,279159
DC,2021-02-25,1005,,40122
DE,2021-02-25,1406,,85801
FL,2021-02-25,31018,79956,1857670
GA,2021-02-25,17199,55604,997388
GU,2021-02-25,130,,7730
HI,2021-02-25,435,2209,28088
IA,2021-02-25,5438,,278883
ID,2021-02-25,1840,7044,170289
IL,2021-02-25,22607,,1181226
IN,2021-02-25,12494,42672,659127
KS,2021-02-25,4724,9189,292837
KY,2021-02-25,4570,18888,401750
LA,2021-02-25,9561,,427689
MA,2021-02-25,15978,19444,575993
MD,2021-02-25,7805,34759,379466
ME,2021-02-25,701,1521,44117
MI,2021-02-25,16436,,642868
MN,2021-02-25,6450,25625,481831
MO,2021-02-25,7902,,477078
MP,2021-02-25,2,4,143
MS,2021-02-25,6613,9012,292811
MT,2021-02-25,1350,4567,99445
NC,2021-02-25,11137,,852981
ND,2021-02-25,1471,3863,99621
NE,2021-02-25,2063,6082,200106
NH,2021-02-25,1163,1106,74568
NJ,2021-02-25,23147,63441,778963
NM,2021-02-25,3671,13054,184080
NV,2021-02-25,4933,,292630
NY,2021-02-25,38227,,1606520
OH,2021-02-25,17125,49951,962404
OK,2021-02-25,4302,23813,422156
OR,2021-02-25,2194,8528,154062
PA,2021-02-25,23868,,922990
PR,2021-02-25,2016,,99619
RI,2021-02-25,2496,8875,125185
SC,2021-02-25,8443,20195,511546
SD,2021-02-25,1872,6589,111964
TN,2021-02-25,11321,18506,770940
TX,2021-02-25,42285,,2621181
UT,2021-02-25,1890,14597,369433
VA,2021-02-25,7963,23871,570982
VI,2021-02-25,25,,2623
VT,2021-02-25,203,,14840
WA,2021-02-25,4912,19211,336565
WI,2021-02-25,6994,25954,615225
WV,2021-02-25,2290,,130813
WY,2021-02-25,671,1377,54202
AK,2021-02-24,290,1260,55736
AL,2021-02-24,9744,45250,490220
AR,2021-02-24,5387,14649,317396
AS,2021-02-24,0,,0
AZ,2021-02-24,15693,57156,811968
CA,2021-02-24,49877,,3455361
CO,2021-02-24,5917,23349,423558
CT,2021-02-24,7595,,278184
DC,2021-02-24,1001,,39943
DE,2021-02-24,1402,,85506
FL,2021-02-24,30878,79675,1851151
GA,2021-02-24,17064,55394,994061
GU,2021-02-24,130,,7729
HI,2021-02-24,435,2204,28050
IA,2021-02-24,5415,,278410
ID,2021-02-24,1840,7033,169866
IL,2021-02-24,22575,,1179342
IN,2021-02-24,12467,42635,658043
KS,2021-02-24,4724,9189,292837
KY,2021-02-24,4527,18859,400307
LA,2021-02-24,9528,,426925
MA,2021-02-24,15945,19444,573885
MD,2021-02-24,7789,34672,378490
ME,2021-02-24,677,1515,43900
MI,2021-02-24,16389,,641270
MN,2021-02-24,6443,25579,480845
MO,2021-02-24,7894,,476351
MP,2021-02-24,2,4,143
MS,2021-02-24,6605,9012,291891
MT,2021-02-24,1348,4559,99242
NC,2021-02-24,11074,,849630
ND,2021-02-24,1470,3860,99531
NE,2021-02-24,2054,6059,199782
NH,2021-02-24,1157,1101,74258
NJ,2021-02-24,23077,63252,775386
NM,2021-02-24,3658,13024,183781
NV,2021-02-24,4919,,292059
NY,2021-02-24,38135,,1597774
OH,2021-02-24,17045,49788,959995
OK,2021-02-24,4264,23768,421010
OR,2021-02-24,2162,8496,153645
PA,2021-02-24,23787,,920634
PR,2021-02-24,2007,,99519
RI,2021-02-24,2487,8850,124718
SC,2021-02-24,8398,20117,509044
SD,2021-02-24,1864,6570,111808
TN,2021-02-24,11266,18430,768946
TX,2021-02-24,41980,,2613792
UT,2021-02-24,1879,14554,368601
VA,2021-02-24,7807,23798,568946
VI,2021-02-24,25,,2613
VT,2021-02-24,201,,14768
WA,2021-02-24,4881,19160,335693
WI,2021-02-24,6936,25893,614260
WV,2021-02-24,2285,,130382
WY,2021-02-24,671,1374,53988
AK,2021-02-23,290,1260,55560
AL,2021-02-23,9660,45250,488973
AR,2021-02-23,5377,14617,316593
AS,2021-02-23,0,,0
AZ,2021-02-23,15650,57072,810658
CA,2021-02-23,49563,,3450058
CO,2021-02-23,5907,23293,422390
CT,2021-02-23,7572,,276691
DC,2021-02-23,998,,39844
DE,2021-02-23,1379,,85228
FL,2021-02-23,30749,79410,1844228
GA,2021-02-23,16927,55167,990821
GU,2021-02-23,130,,7727
HI,2021-02-23,431,2196,28000
IA,2021-02-23,5400,,277821
ID,2021-02-23,1826,7007,169584
IL,2021-02-23,22528,,1177320
IN,2021-02-23,12450,42557,657037
KS,2021-02-23,4643,9103,291715
KY,2021-02-23,4476,18768,399013
LA,2021-02-23,9503,,426048
MA,2021-02-23,15883,19176,571783
MD,2021-02-23,7762,34577,377628
ME,2021-02-23,660,1511,43736
MI,2021-02-23,16380,,639712
MN,2021-02-23,6434,25528,480091
MO,2021-02-23,7885,,475791
MP,2021-02-23,2,4,143
MS,2021-02-23,6577,9012,291222
MT,2021-02-23,1346,4554,99040
NC,2021-02-23,10965,,846284
ND,2021-02-23,1468,3859,99416
NE,2021-02-23,2050,6048,199402
NH,2021-02-23,1155,1095,73923
NJ,2021-02-23,22978,63190,772267
NM,2021-02-23,3644,12989,183335
NV,2021-02-23,4903,,291543
NY,2021-02-23,38031,,1591585
OH,2021-02-23,16968,49651,958153
OK,2021-02-23,4227,23700,420212
OR,2021-02-23,2155,8457,153134
PA,2021-02-23,23711,,917848
PR,2021-02-23,1986,,99476
RI,2021-02-23,2476,8835,124262
SC,2021-02-23,8357,20024,506912
SD,2021-02-23,1863,6548,111546
TN,2021-02-23,11198,18363,767315
TX,2021-02-23,41641,,2606275
UT,2021-02-23,1865,14520,367789
VA,2021-02-23,7658,23698,567039
VI,2021-02-23,25,,2589
VT,2021-02-23,199,,14691
WA,2021-02-23,4857,19110,334962
WI,2021-02-23,6910,25838,613419
WV,2021-02-23,2274,,130139
WY,2021-02-23,671,1373,53944
AK,2021-02-22,290,1251,55507
AL,2021-02-22,9592,45128,487520
AR,2021-02-22,5363,14570,315759
AS,2021-02-22,0,,0
AZ,2021-02-22,15502,56994,809474
CA,2021-02-22,49338,,3446611
CO,2021-02-22,5893,23183,421294
CT,2021-02-22,7562,,275334
DC,2021-02-22,995,,39755
DE,2021-02-22,1368,,85090
FL,2021-02-22,30595,79096,1838745
GA,2021-02-22,16835,54883,987041
GU,2021-02-22,130,,7727
HI,2021-02-22,431,2210,27953
IA,2021-02-22,5374,,277580
ID,2021-02-22,1826,6983,169150
IL,2021-02-22,22506,,1175655
IN,2021-02-22,12407,42500,656358
KS,2021-02-22,4643,9103,291715
KY,2021-02-22,4460,18625,397526
LA,2021-02-22,9477,,424644
MA,2021-02-22,15853,19176,570546
MD,2021-02-22,7732,34493,376966
ME,2021-02-22,658,1508,43594
MI,2021-02-22,16343,,637928
MN,2021-02-22,6433,25478,479591
MO,2021-02-22,7715,,475348
MP,2021-02-22,2,4,143
MS,2021-02-22,6553,8978,290874
MT,2021-02-22,1341,4527,98810
NC,2021-02-22,10934,,844770
ND,2021-02-22,1468,3860,99312
NE,2021-02-22,2047,6031,199045
NH,2021-02-22,1154,1093,73665
NJ,2021-02-22,22874,63172,769109
